estimated_population,building_type,quality_flag,estimated_units,footprint_area_sqft,GEOID,STAT_LAND_,people_per_unit_ratio,estimation_notes
4.9,mobile_home,ok,1,69.67536836999446,482012516001,A2,5.983539094650205,none
4.9,mobile_home,ok,1,184.59728646886145,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,165.29588664599,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,301.48752155112675,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,86.90586310522959,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,282.3304866952825,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,74.80215144409036,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,77.99511058948386,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,238.54134653047134,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,199.45422357765653,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,436.7312453082125,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,41.30994385947634,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,387.69736918726716,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,499.15300248304436,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,152.31747003162812,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,298.8904959290504,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,218.44334739671297,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,335.5325370779159,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,359.58299959085195,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,277.7815579112523,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,51.09065100643558,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,76.9505498945711,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,254.44887066840357,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,579.6204794640917,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,127.11166890128614,482012516003,A2,2.8,none
2.0,single_family_detached,ok,1,367.9395789393254,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,408.89536898149044,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,240.247480918546,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,164.84611832773564,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,331.4357771116836,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,511.9802436596024,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,128.03080261972767,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,138.08993031938556,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,236.18924009414184,482012516001,A1,5.983539094650205,none
4.1,duplex,ok,2,419.7611877259574,482012516001,B2,2.5,none
4.9,single_family_detached,ok,1,204.9437104256646,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,118.54874987862655,482012516001,A1,5.983539094650205,none
